station,penman,penman104,asGazit,asMUKEBLE,RAMAT_ZVI,asAlonim,asHulda,meteo6,meteo7,meteo8,meteo9,meteo10
mon1,mET1,mp230,monPREC10,monPREC10,monPREC10,monWS,monWS,,,,,
mon2,mET3,mp115,monBV,monBV,monBV,monWD,monWD,,,,,
mon3,mET7,mp116,,monPress,monTSvol_1,monWDSTc,monWDSTc,,,,,
mon4,,mp117,,,monTStemp_1,monWSMax,monWSMax,,,,,
mon5,,mp118,,,monTSper_1,monT,monT,,,,,
mon6,,mp119,,,monTScon_1,monT12m,monRH,,,,,
mon7,,mp120,,,,monRH,monT12m,,,,,
mon8,,mp121,,,,monRAD,monT10m,,,,,
mon9,,mp122,,,,monPREC10,monRAD,,,,,
mon10,,mp123,,,,monBV,monPREC10,,,,,
mon11,,mp124,,,,,monBV,,,,,
mon12,,mp125,,,,,,,,,,
mon13,,mp126,,,,,,,,,,
mon14,,mp127,,,,,,,,,,
mon15,,mp128,,,,,,,,,,
mon16,,mp129,,,,,,,,,,
mon17,,mp130,,,,,,,,,,
mon18,,mp131,,,,,,,,,,
mon19,,mp132,,,,,,,,,,
mon20,,mp133,,,,,,,,,,
mon21,,mp134,,,,,,,,,,
mon22,,mp135,,,,,,,,,,
mon23,,mp136,,,,,,,,,,
mon24,,mp137,,,,,,,,,,
mon25,,mp138,,,,,,,,,,
mon26,,mp139,,,,,,,,,,
mon27,,mp140,,,,,,,,,,
mon28,,mp702,,,,,,,,,,
mon29,,mp142,,,,,,,,,,
mon30,,mp143,,,,,,,,,,
mon31,,mp144,,,,,,,,,,
mon32,,mp147,,,,,,,,,,
mon33,,mp205,,,,,,,,,,
mon34,,mp701,,,,,,,,,,
mon35,,mp230.2,,,,,,,,,,
mon36,,mp237,,,,,,,,,,
mon37,,mp231,,,,,,,,,,
mon38,,mp703,,,,,,,,,,
mon39,,mp238,,,,,,,,,,
mon40,,mp232,,,,,,,,,,
mon41,,mp233,,,,,,,,,,
mon42,,mp228,,,,,,,,,,
mon43,,mp234,,,,,,,,,,
mon44,,mp235,,,,,,,,,,
mon45,,mp236,,,,,,,,,,
mon46,,mp704,,,,,,,,,,
mon47,,mp705,,,,,,,,,,
mon48,,mp239,,,,,,,,,,
mon49,,mp706,,,,,,,,,,
mon50,,mp304,,,,,,,,,,
mon51,,mp310,,,,,,,,,,
